Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
Johnny Michelosen,,http://www.pro-football-reference.com,
Lou Mark,,http://www.pro-football-reference.com,
Joe Kuharich,,http://www.pro-football-reference.com,
Bob Mautner,,http://www.pro-football-reference.com,
Clint Frank,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/clint-frank-1.html
Tony Falkenstein,,http://www.pro-football-reference.com,
Elmore Hackney,,http://www.pro-football-reference.com,
Hank Bartos,,http://www.pro-football-reference.com,
Fred Dreher,,http://www.pro-football-reference.com,
Ki Aldrich,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/ki-aldrich-1.html
Sid Luckman,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/sid-luckman-1.html
Parker Hall,,http://www.pro-football-reference.com,
Davey O'Brien,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/davey-obrien-1.html
Bob MacLeod,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/bob-macleod-1.html
Bill Osmanski,,http://www.pro-football-reference.com,
Johnny Pingel,,http://www.pro-football-reference.com,
I.B. Hale,,http://www.pro-football-reference.com,
Larry Buhler,,http://www.pro-football-reference.com,
Walt Nielsen,,http://www.pro-football-reference.com,
Pug Manders,,http://www.pro-football-reference.com,
Marshall Goldberg,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/marshall-goldberg-1.html
Gaylon Smith,,http://www.pro-football-reference.com,
Chuck Newton,,http://www.pro-football-reference.com,
Bob Haak,,http://www.pro-football-reference.com,
Alvord Wolff,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/alvord-wolff-1.html
Billy Patterson,,http://www.pro-football-reference.com,
Elmer Tarbox,,http://www.pro-football-reference.com,
Joe Mihal,,http://www.pro-football-reference.com,
Waddy Young,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/waddy-young-1.html
John Wysocki,,http://www.pro-football-reference.com,
Howie Weiss,,http://www.pro-football-reference.com,
Charley Holm,,http://www.pro-football-reference.com,
Charley Brock,,http://www.pro-football-reference.com,
John Chickerneo,,http://www.pro-football-reference.com,
Hugh McCullough,,http://www.pro-football-reference.com,
Hal (Curly) Stebbins,,http://www.pro-football-reference.com,
Wally Garard,,http://www.pro-football-reference.com,
Billy Dewell,,http://www.pro-football-reference.com,
Vic Bottari,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/vic-bottari-1.html
Bill Daddio,,http://www.pro-football-reference.com,
Ernie Wheeler,,http://www.pro-football-reference.com,
Eddie Gatto,,http://www.pro-football-reference.com,
Zed Coston,,http://www.pro-football-reference.com,
Jack Kinnison,,http://www.pro-football-reference.com,
Joe Delaney,,http://www.pro-football-reference.com,
Steve Maronic,,http://www.pro-football-reference.com,
Dick Todd,,http://www.pro-football-reference.com,
Lynn Hovland,,http://www.pro-football-reference.com,
Don Willis,,http://www.pro-football-reference.com,
Sam Boyd,,http://www.pro-football-reference.com,
George Faust,,http://www.pro-football-reference.com,
Barney McGarry,,http://www.pro-football-reference.com,
Jake Schuehle,,http://www.pro-football-reference.com,
Len Janiak,,http://www.pro-football-reference.com,
Ed Beinor,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/ed-beinor-1.html
Joe Wendlick,,http://www.pro-football-reference.com,
Dave Anderson,,http://www.pro-football-reference.com,
Larry Craig,,http://www.pro-football-reference.com,
Jerry Ginney,,http://www.pro-football-reference.com,
Bill Dwyer,,http://www.pro-football-reference.com,
Eddie Palumbo,,http://www.pro-football-reference.com,
Jerry Dowd,,http://www.pro-football-reference.com,
Tony Ippolito,,http://www.pro-football-reference.com,
Alex Schoenbaum,,http://www.pro-football-reference.com,
Charles Heileman,,http://www.pro-football-reference.com,
Darrell Tully,,http://www.pro-football-reference.com,
Quinton Lumpkin,,http://www.pro-football-reference.com,
Frank Twedell,,http://www.pro-football-reference.com,
Lloyd Woodell,,http://www.pro-football-reference.com,
Ole Nelson,,http://www.pro-football-reference.com,
Sherm Hinkebein,,http://www.pro-football-reference.com,
Warren (Bronco) Brunner,,http://www.pro-football-reference.com,
George Somers,,http://www.pro-football-reference.com,
Dan (Tiger) Hill,,http://www.pro-football-reference.com,
Bob Dannies,,http://www.pro-football-reference.com,
Dick Trzuskowski,,http://www.pro-football-reference.com,
Bo Russell,,http://www.pro-football-reference.com,
Paul Kell,,http://www.pro-football-reference.com,
Pete Zagar,,http://www.pro-football-reference.com,
Earl Brown,,http://www.pro-football-reference.com,
Steve Petro,,http://www.pro-football-reference.com,
Lew Bostick,,http://www.pro-football-reference.com,
Rankin Britt,,http://www.pro-football-reference.com,
Forrest Kline,,http://www.pro-football-reference.com,
